File Size, Method, Mean (ms), Stddev (ms)
16777216, aio_read_direct 1024 Kb, 52.119477, 0.289719
16777216, aio_read_direct 4096 Kb, 53.793722, 0.326364
16777216, aio_read_direct 16384 Kb, 56.698396, 0.376370
16777216, aio_read_fadvise 4 Kb, 49.459738, 0.534834
16777216, aio_read_fadvise 8 Kb, 48.164138, 0.629412
16777216, aio_read_fadvise 12 Kb, 48.064350, 0.251101
16777216, aio_read_fadvise 16 Kb, 48.810799, 0.948013
16777216, aio_read_fadvise 24 Kb, 47.710143, 0.176470
16777216, aio_read_fadvise 32 Kb, 47.942059, 0.265338
16777216, aio_read_fadvise 40 Kb, 48.595084, 0.080965
16777216, aio_read_fadvise 48 Kb, 48.678592, 0.043243
16777216, aio_read_fadvise 56 Kb, 48.757492, 0.409526
16777216, aio_read_fadvise 64 Kb, 48.626972, 0.248708
16777216, aio_read_fadvise 256 Kb, 48.635036, 0.253425
16777216, aio_read_fadvise 1024 Kb, 49.763634, 0.272446
16777216, aio_read_fadvise 4096 Kb, 52.136085, 1.009052
16777216, aio_read_fadvise 16384 Kb, 59.922381, 4.153305
16777216, read_async_plain 4 Kb, 50.421796, 0.468135
16777216, read_async_plain 8 Kb, 50.411670, 0.225911
16777216, read_async_plain 12 Kb, 51.149570, 0.412036
16777216, read_async_plain 16 Kb, 49.157598, 0.739959
16777216, read_async_plain 24 Kb, 48.613150, 0.645123
16777216, read_async_plain 32 Kb, 48.708710, 0.653014
16777216, read_async_plain 40 Kb, 50.029022, 0.689249
16777216, read_async_plain 48 Kb, 50.080192, 0.056531
16777216, read_async_plain 56 Kb, 50.236959, 0.423967
16777216, read_async_plain 64 Kb, 50.149803, 0.124622
16777216, read_async_plain 256 Kb, 50.322214, 0.204721
16777216, read_async_plain 1024 Kb, 50.760745, 0.209229
16777216, read_async_plain 4096 Kb, 53.416040, 0.974345
16777216, read_async_plain 16384 Kb, 61.365901, 4.105960
16777216, read_async_direct 4 Kb, 229.468989, 2.177977
16777216, read_async_direct 8 Kb, 136.732628, 0.724478
16777216, read_async_direct 12 Kb, 102.096250, 1.408858
16777216, read_async_direct 16 Kb, 88.544957, 2.005041
16777216, read_async_direct 24 Kb, 77.493666, 4.569241
16777216, read_async_direct 32 Kb, 67.025051, 1.144690
16777216, read_async_direct 40 Kb, 63.604255, 0.762289
16777216, read_async_direct 48 Kb, 61.467382, 2.648495
16777216, read_async_direct 56 Kb, 71.416485, 6.806987
16777216, read_async_direct 64 Kb, 72.721960, 0.281984
16777216, read_async_direct 256 Kb, 54.577500, 0.481780
16777216, read_async_direct 1024 Kb, 50.174594, 0.763868
16777216, read_async_direct 4096 Kb, 51.035060, 0.538106
16777216, read_async_direct 16384 Kb, 58.504075, 0.442549
16777216, read_async_fadvise 4 Kb, 48.360066, 0.215797
16777216, read_async_fadvise 8 Kb, 47.563389, 0.283465
16777216, read_async_fadvise 12 Kb, 47.736607, 0.253365
16777216, read_async_fadvise 16 Kb, 47.975255, 0.504284
16777216, read_async_fadvise 24 Kb, 47.909315, 0.763470
16777216, read_async_fadvise 32 Kb, 48.124733, 0.093210
16777216, read_async_fadvise 40 Kb, 48.788107, 0.739732
16777216, read_async_fadvise 48 Kb, 48.739756, 0.851514
16777216, read_async_fadvise 56 Kb, 48.541168, 0.182438
16777216, read_async_fadvise 64 Kb, 48.256295, 0.103769
16777216, read_async_fadvise 256 Kb, 48.779308, 0.162361
16777216, read_async_fadvise 1024 Kb, 49.303764, 0.618612
16777216, read_async_fadvise 4096 Kb, 50.757784, 0.285000
16777216, read_async_fadvise 16384 Kb, 63.687525, 4.030644
16777216, mmap_plain, 51.023704, 0.140795
16777216, mmap_direct, 51.106279, 0.251891
16777216, mmap_fadvise, 49.209852, 0.150294
File Size, Method, Mean (ms), Stddev (ms)
268435456, read_plain 4 Kb, 768.873750, 0.910116
268435456, read_plain 8 Kb, 769.162906, 0.543504
268435456, read_plain 12 Kb, 769.332689, 0.471531
268435456, read_plain 16 Kb, 769.257668, 0.513281
268435456, read_plain 24 Kb, 772.324988, 1.017469
268435456, read_plain 32 Kb, 773.930466, 2.767290
268435456, read_plain 40 Kb, 769.377767, 0.590042
268435456, read_plain 48 Kb, 769.491289, 0.281135
268435456, read_plain 56 Kb, 772.414090, 5.476990
268435456, read_plain 64 Kb, 769.339513, 0.300927
268435456, read_plain 256 Kb, 778.526080, 15.000559
268435456, read_plain 1024 Kb, 881.451175, 25.602681
268435456, read_plain 4096 Kb, 912.295835, 22.827824
268435456, read_plain 16384 Kb, 928.919828, 25.757657
268435456, read_plain 65536 Kb, 911.368224, 2.207493
268435456, read_plain 262144 Kb, 913.071079, 4.082952
268435456, read_direct 4 Kb, 4000.697255, 11.891965
268435456, read_direct 8 Kb, 2464.938944, 26.713849
268435456, read_direct 12 Kb, 1932.859419, 44.515085
268435456, read_direct 16 Kb, 1781.816880, 108.300005
268435456, read_direct 24 Kb, 1476.052093, 50.393090
268435456, read_direct 32 Kb, 1431.733350, 33.168561
268435456, read_direct 40 Kb, 1386.513148, 19.764015
268435456, read_direct 48 Kb, 1343.975233, 15.979991
268435456, read_direct 56 Kb, 1310.956689, 22.898800
268435456, read_direct 64 Kb, 1319.959698, 45.177944
268435456, read_direct 256 Kb, 1103.080200, 38.877349
268435456, read_direct 1024 Kb, 994.216530, 27.156939
268435456, read_direct 4096 Kb, 935.756018, 29.755029
268435456, read_direct 16384 Kb, 905.832676, 4.642995
268435456, read_direct 65536 Kb, 901.639041, 8.922370
268435456, read_direct 262144 Kb, 921.127006, 29.356096
268435456, read_fadvise 4 Kb, 765.269068, 1.270612
268435456, read_fadvise 8 Kb, 764.371040, 1.158253
268435456, read_fadvise 12 Kb, 763.837228, 1.218843
268435456, read_fadvise 16 Kb, 763.787602, 0.325585
268435456, read_fadvise 24 Kb, 766.895742, 0.819534
268435456, read_fadvise 32 Kb, 767.180021, 0.837199
268435456, read_fadvise 40 Kb, 760.525593, 0.830646
268435456, read_fadvise 48 Kb, 760.799601, 0.751827
268435456, read_fadvise 56 Kb, 760.922667, 0.843990
268435456, read_fadvise 64 Kb, 760.841459, 0.870231
268435456, read_fadvise 256 Kb, 764.258175, 0.544512
268435456, read_fadvise 1024 Kb, 785.033664, 29.494858
268435456, read_fadvise 4096 Kb, 874.699018, 5.341978
268435456, read_fadvise 16384 Kb, 943.937705, 50.068587
268435456, read_fadvise 65536 Kb, 926.655131, 34.392429
268435456, read_fadvise 262144 Kb, 954.191904, 61.778872
268435456, aio_read_direct 4 Kb, 6862.201138, 376.069493
268435456, aio_read_direct 8 Kb, 4345.502665, 280.423163
268435456, aio_read_direct 12 Kb, 3212.652839, 174.839978
268435456, aio_read_direct 16 Kb, 2920.258061, 109.413986
268435456, aio_read_direct 24 Kb, 2138.411868, 101.526162
268435456, aio_read_direct 32 Kb, 1823.841243, 51.051218
268435456, aio_read_direct 40 Kb, 1590.554637, 52.208564
268435456, aio_read_direct 48 Kb, 1437.047760, 17.531311
268435456, aio_read_direct 56 Kb, 1343.358176, 23.938569
268435456, aio_read_direct 64 Kb, 1283.881974, 38.716751
268435456, aio_read_direct 256 Kb, 926.929708, 10.734378
268435456, aio_read_direct 1024 Kb, 828.428604, 4.352157
268435456, aio_read_direct 4096 Kb, 788.642018, 3.194992
268435456, aio_read_direct 16384 Kb, 784.140158, 3.068210
268435456, aio_read_direct 65536 Kb, 829.030287, 2.916810
268435456, aio_read_direct 262144 Kb, 963.026546, 70.347812
268435456, aio_read_fadvise 4 Kb, 765.242214, 0.575770
268435456, aio_read_fadvise 8 Kb, 764.756847, 1.313775
268435456, aio_read_fadvise 12 Kb, 763.907215, 0.161217
268435456, aio_read_fadvise 16 Kb, 764.658846, 1.628981
268435456, aio_read_fadvise 24 Kb, 766.874254, 0.978098
268435456, aio_read_fadvise 32 Kb, 767.031064, 0.952859
268435456, aio_read_fadvise 40 Kb, 760.666116, 0.743555
268435456, aio_read_fadvise 48 Kb, 760.529643, 0.749021
268435456, aio_read_fadvise 56 Kb, 760.534218, 0.770869
268435456, aio_read_fadvise 64 Kb, 760.699076, 0.832645
268435456, aio_read_fadvise 256 Kb, 764.339159, 0.839761
268435456, aio_read_fadvise 1024 Kb, 765.138821, 0.459911
268435456, aio_read_fadvise 4096 Kb, 768.246547, 0.121328
268435456, aio_read_fadvise 16384 Kb, 782.899897, 0.854189
268435456, aio_read_fadvise 65536 Kb, 836.394941, 0.650943
268435456, aio_read_fadvise 262144 Kb, 907.682217, 0.679130
268435456, read_async_plain 4 Kb, 774.541368, 1.072871
268435456, read_async_plain 8 Kb, 774.241457, 0.867219
268435456, read_async_plain 12 Kb, 773.424139, 0.605473
268435456, read_async_plain 16 Kb, 773.566274, 0.706316
268435456, read_async_plain 24 Kb, 776.884674, 0.235366
268435456, read_async_plain 32 Kb, 776.762366, 0.495026
268435456, read_async_plain 40 Kb, 774.502796, 0.534978
268435456, read_async_plain 48 Kb, 774.096313, 0.449136
268435456, read_async_plain 56 Kb, 774.293424, 0.294024
